銀行中文名稱,本月,本年累計,銀行類別,時間,業務項目
總計,3262742000,33700917000,本國銀行,201609,進口開狀
臺灣銀行,245262000,2798640000,本國銀行,201609,進口開狀
臺灣土地銀行,149135000,1171846000,本國銀行,201609,進口開狀
合作金庫銀行,201046000,2158160000,本國銀行,201609,進口開狀
第一商業銀行,376015000,3763692000,本國銀行,201609,進口開狀
華南商業銀行,366592000,3815089000,本國銀行,201609,進口開狀
彰化商業銀行,293476000,2944323000,本國銀行,201609,進口開狀
上海商業儲蓄銀行,128788000,1464772000,本國銀行,201609,進口開狀
台北富邦銀行,87559000,1042345000,本國銀行,201609,進口開狀
國泰世華商業銀行,61862000,597143000,本國銀行,201609,進口開狀
中國輸出入銀行,0,0,本國銀行,201609,進口開狀
高雄銀行,3685000,97381000,本國銀行,201609,進口開狀
兆豐國際商業銀行,555397000,5380962000,本國銀行,201609,進口開狀
花旗(台灣)銀行,20718000,142870000,本國銀行,201609,進口開狀
澳盛(台灣)商業銀行,31540000,305767000,本國銀行,201609,進口開狀
中華開發工業銀行,0,0,本國銀行,201609,進口開狀
臺灣工業銀行,5829000,78493000,本國銀行,201609,進口開狀
臺灣中小企業銀行,116728000,1365450000,本國銀行,201609,進口開狀
渣打國際商業銀行,14698000,118078000,本國銀行,201609,進口開狀
台中商業銀行,52248000,611866000,本國銀行,201609,進口開狀
京城商業銀行,3750000,22021000,本國銀行,201609,進口開狀
滙豐(台灣)商業銀行,28385000,353761000,本國銀行,201609,進口開狀
瑞興商業銀行,185000,1407000,本國銀行,201609,進口開狀
華泰商業銀行,11070000,78909000,本國銀行,201609,進口開狀
臺灣新光商業銀行,43159000,405688000,本國銀行,201609,進口開狀
陽信商業銀行,7885000,125467000,本國銀行,201609,進口開狀
板信商業銀行,17905000,120645000,本國銀行,201609,進口開狀
三信商業銀行,689000,13391000,本國銀行,201609,進口開狀
聯邦商業銀行,13350000,100115000,本國銀行,201609,進口開狀
遠東國際商業銀行,5301000,85461000,本國銀行,201609,進口開狀
元大商業銀行,51060000,430686000,本國銀行,201609,進口開狀
永豐商業銀行,43873000,540668000,本國銀行,201609,進口開狀
玉山商業銀行,122468000,1311196000,本國銀行,201609,進口開狀
凱基商業銀行,10882000,113368000,本國銀行,201609,進口開狀
星展(台灣)商業銀行,31428000,405666000,本國銀行,201609,進口開狀
台新國際商業銀行,29717000,335687000,本國銀行,201609,進口開狀
大眾商業銀行,7196000,90349000,本國銀行,201609,進口開狀
日盛國際商業銀行,4997000,71019000,本國銀行,201609,進口開狀
安泰商業銀行,3192000,122268000,本國銀行,201609,進口開狀
中國信託商業銀行,115672000,1116268000,本國銀行,201609,進口開狀
